id,Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type,Target
28,0,0,1,1,1,0,0,0,2,24,90000.0,43.926980020123615,7.616857293442028,Working,Higher education,Married,House / apartment,Core staff,0
29,0,0,1,0,0,0,0,1,3,40,180000.0,53.701308035072586,7.879696366112925,Commercial associate,Higher education,Married,House / apartment,Managers,1
30,1,1,0,1,0,0,0,0,2,23,126000.0,55.075737352580816,0.6790009377331498,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
31,0,0,1,0,0,0,0,0,1,11,130500.0,49.95311334250532,9.013189867006169,Working,Secondary / secondary special,Widow,House / apartment,Security staff,0
32,0,0,1,0,0,0,0,0,2,16,171000.0,55.04014456148997,7.384135197848005,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Cleaning staff,1
33,0,0,1,0,0,0,0,0,2,23,112500.0,43.44237047988665,5.716749830592004,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,0
34,1,1,0,0,1,0,0,1,3,43,247500.0,28.54268054785519,8.7667782363772,Commercial associate,Higher education,Married,House / apartment,IT staff,0
35,0,0,1,0,1,0,1,0,2,9,121500.0,67.28406469674258,0.0,Pensioner,Higher education,Married,House / apartment,Other,0
36,0,0,0,1,0,0,0,0,2,51,157500.0,44.35135560620684,9.3390008008378,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Private service staff,1
37,1,0,1,0,0,0,0,0,2,2,180000.0,56.71026783575296,4.438147258328371,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
38,0,0,0,0,0,0,0,1,3,11,90000.0,27.630957514528017,2.6721972388207837,Working,Secondary / secondary special,Married,With parents,Other,0
39,0,0,1,0,0,0,0,1,3,5,54000.0,42.65932907588794,0.5119886103068509,Working,Secondary / secondary special,Married,House / apartment,Other,0
40,1,0,1,0,0,0,0,0,1,13,180000.0,25.42968028090926,2.625652819701979,Working,Higher education,Single / not married,House / apartment,Laborers,0
41,0,0,1,0,0,0,0,2,4,23,157500.0,33.224501529805536,3.3292949204980253,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,0
42,0,1,1,0,0,0,0,0,2,50,135000.0,40.5484027734998,4.53123609656598,Commercial associate,Higher education,Married,House / apartment,Laborers,0
43,0,0,1,0,0,0,0,0,2,60,112500.0,45.37533282682054,12.523186649965432,Working,Secondary / secondary special,Married,House / apartment,Other,0
44,0,0,0,1,0,0,0,0,1,48,270000.0,37.679076230175845,5.3799872687324175,Working,Higher education,Single / not married,Rented apartment,Medicine staff,1
45,0,0,1,0,0,0,1,0,2,52,54000.0,67.09788702026735,0.0,Pensioner,Higher education,Married,House / apartment,Other,0
46,1,0,0,0,1,0,0,0,2,21,180000.0,28.21139380000958,2.034264906192461,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,1
47,0,0,0,1,0,0,0,0,2,45,157500.0,51.694422198950015,8.632620793034764,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,0
48,0,0,0,1,0,0,0,0,2,16,112500.0,59.57959437907692,16.78610785984654,Working,Secondary / secondary special,Married,Municipal apartment,Medicine staff,0
49,0,0,0,1,1,0,0,0,2,6,216000.0,53.61095710384197,4.876212379446532,Commercial associate,Secondary / secondary special,Married,House / apartment,Other,1
50,1,0,0,1,0,0,0,0,2,41,81000.0,38.90839647631368,0.4325893071041842,Working,Secondary / secondary special,Civil marriage,House / apartment,Low-skill Laborers,1
51,0,1,1,0,1,0,0,0,2,53,117000.0,48.01193727455047,11.261011519743732,Working,Secondary / secondary special,Married,Municipal apartment,Sales staff,0
52,0,1,1,0,0,0,1,0,2,42,135000.0,55.38238293736353,0.0,Pensioner,Higher education,Married,House / apartment,Other,0
53,0,0,0,0,0,0,0,0,1,43,270000.0,58.57478250751213,18.004476477956427,Working,Secondary / secondary special,Separated,House / apartment,Medicine staff,1
54,1,0,1,0,0,0,0,0,1,15,337500.0,45.76959143582688,3.468928177854439,Working,Secondary / secondary special,Single / not married,House / apartment,High skill tech staff,0
55,1,1,1,0,0,1,0,1,3,22,310500.0,30.17994893803432,8.468346372615454,Working,Higher education,Married,House / apartment,IT staff,0
56,0,0,0,0,0,0,0,0,1,17,270000.0,62.50367906254064,7.0035661238766025,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,High skill tech staff,0
57,1,0,0,0,0,0,1,0,2,50,162000.0,64.76519025031315,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
58,1,0,1,1,1,0,0,1,3,12,157500.0,30.19363847306926,0.3641416319294715,Working,Secondary / secondary special,Married,House / apartment,Security staff,0
59,0,0,1,0,0,0,0,1,3,27,67500.0,35.85015434950752,9.456730802138305,Working,Incomplete higher,Married,House / apartment,Other,0
60,1,1,0,1,0,0,0,2,4,13,184500.0,34.27311991348214,2.535301888471358,Working,Higher education,Married,House / apartment,Drivers,0
61,0,1,0,0,1,0,0,0,2,45,157500.0,46.7661895863707,8.013853809455362,State servant,Secondary / secondary special,Married,House / apartment,Other,0
62,0,0,1,0,0,0,0,1,3,41,180000.0,37.69276576521079,5.152740987152371,Working,Higher education,Civil marriage,House / apartment,Sales staff,0
63,1,0,1,0,0,0,0,2,4,54,135000.0,54.50351478812022,16.59993018337132,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
64,0,1,0,1,0,0,0,0,1,36,247500.0,27.732260073786595,3.0336009637432664,Working,Secondary / secondary special,Single / not married,House / apartment,Medicine staff,1
65,1,1,1,0,0,0,1,0,2,53,112500.0,60.35442206205466,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
66,1,1,1,0,0,0,0,0,2,58,270000.0,39.19313880504048,11.340410822946398,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
67,0,0,1,0,0,0,0,1,3,32,180000.0,42.99335373074054,5.048700520886808,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,0
68,1,0,1,0,1,0,0,1,3,13,225000.0,28.424950546554687,2.9596774745545766,Working,Higher education,Married,House / apartment,Sales staff,0
69,0,0,1,0,0,0,0,2,4,33,265500.0,31.362724765053358,4.260183302874117,Working,Secondary / secondary special,Married,House / apartment,Managers,0
70,0,0,1,0,0,0,0,0,2,54,157500.0,60.72403950799811,20.868327207266404,State servant,Higher education,Married,House / apartment,Managers,0
71,1,0,1,0,1,0,1,0,2,21,162000.0,63.71930977364354,0.0,Pensioner,Higher education,Married,House / apartment,Other,0
72,1,0,1,0,0,0,0,0,2,33,180000.0,59.83421973072684,2.09176095333922,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
73,0,0,1,0,0,0,1,0,1,15,108000.0,60.59809578567664,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
74,1,1,1,0,0,1,0,0,2,21,202500.0,34.65642689446053,14.71351225555624,Commercial associate,Higher education,Married,House / apartment,Laborers,0
75,0,0,0,0,0,0,0,0,1,1,90000.0,42.11448558149722,0.7885172180126901,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,0
76,1,1,1,0,0,0,0,1,3,29,1125000.0,45.49306282812104,4.446360979349336,Working,Higher education,Married,House / apartment,Managers,0
77,1,1,1,0,1,1,0,2,4,57,135000.0,37.73931018432959,4.854309123390624,Working,Higher education,Married,House / apartment,High skill tech staff,0
78,0,0,1,0,0,0,1,0,2,7,130500.0,64.2751048960622,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
79,0,0,0,0,0,1,0,2,4,52,67500.0,28.54268054785519,5.426531687851222,State servant,Secondary / secondary special,Married,House / apartment,Other,0
80,0,0,1,0,0,0,0,0,1,37,67500.0,48.25013518415847,25.35301888471358,Working,Secondary / secondary special,Single / not married,House / apartment,Medicine staff,1
81,0,0,1,0,0,0,0,0,2,29,135000.0,49.82716962018385,14.209737366270357,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,1
82,1,1,0,0,1,0,0,1,3,20,112500.0,39.154808106942646,0.5475814013977015,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
83,1,1,0,1,0,0,0,0,1,41,157500.0,52.15712848313107,1.2594372232147135,State servant,Secondary / secondary special,Separated,House / apartment,Laborers,1
84,1,0,0,0,0,0,0,0,1,44,112500.0,30.924659643935197,12.159045018035965,Working,Secondary / secondary special,Separated,House / apartment,Laborers,0
85,1,0,1,0,0,0,0,0,2,3,180000.0,36.4032115649192,0.3449762828805519,Commercial associate,Higher education,Married,House / apartment,Other,0
86,1,1,0,1,1,0,0,0,2,13,396000.0,34.42644270587349,6.716085888142809,Commercial associate,Higher education,Married,House / apartment,Managers,0
87,1,0,1,0,0,0,1,0,2,9,63000.0,64.95410583379535,0.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Other,0
88,1,0,1,0,1,0,1,0,2,26,112500.0,61.82467812480749,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
89,1,1,1,0,0,0,0,0,2,21,157500.0,28.21413170701657,0.4243755860832187,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
90,1,0,1,0,0,0,0,0,2,12,126000.0,53.17836779673778,2.891229799379864,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
91,1,1,1,0,1,1,0,1,3,60,450000.0,49.75598403800215,1.856300950738208,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,0
92,0,0,0,0,0,0,1,0,2,4,135000.0,66.40793445450625,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
93,1,1,1,1,1,0,0,0,2,31,180000.0,55.30845944817485,1.6317925761651506,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
94,0,0,1,0,0,0,0,0,2,11,202500.0,41.28216185137272,2.2149667686537025,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,1
95,0,1,0,1,1,0,0,0,2,36,315000.0,37.1178052937432,1.6044135060952651,Pensioner,Higher education,Married,House / apartment,Other,1
96,1,0,1,0,0,0,0,0,2,36,270000.0,32.70156129147073,6.193145649808004,Working,Higher education,Married,House / apartment,Laborers,0
97,0,1,1,0,0,0,1,0,1,0,180000.0,57.14285714285714,0.0,Pensioner,Secondary / secondary special,Widow,Municipal apartment,Other,0
98,0,0,1,0,0,0,1,0,2,1,81000.0,62.6077195288062,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
99,1,0,0,1,0,0,0,0,2,2,112500.0,23.40089118873077,2.7105279369186226,Working,Incomplete higher,Civil marriage,With parents,Laborers,0
100,0,1,1,0,0,1,0,1,3,13,157500.0,39.62846601915166,6.184931928787039,Commercial associate,Higher education,Married,House / apartment,Core staff,0
101,1,0,1,0,0,0,0,0,1,37,180000.0,33.72827641909142,4.62432493480359,Commercial associate,Higher education,Single / not married,House / apartment,Other,0
102,0,0,1,0,1,0,1,0,1,34,65250.0,54.47613571805034,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
103,1,0,0,1,0,0,0,3,5,17,315000.0,41.00837115067387,8.265741254098304,Working,Higher education,Married,House / apartment,Managers,0
104,1,1,1,0,0,1,0,0,2,3,189000.0,56.98953435046579,2.269724908793473,Working,Secondary / secondary special,Married,House / apartment,Security staff,0
105,0,0,0,0,0,0,0,0,2,55,225000.0,59.22092856116142,7.036421007960464,Commercial associate,Higher education,Married,House / apartment,Sales staff,1
106,1,1,1,0,0,0,0,0,2,38,157500.0,27.217533556472755,5.44843494390713,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Drivers,0
107,1,1,0,0,0,0,0,0,2,34,135000.0,40.06105532625584,1.1964653620539778,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,0
108,0,0,1,0,0,0,0,0,1,58,270000.0,61.29352416545172,4.876212379446532,Working,Secondary / secondary special,Separated,House / apartment,Core staff,0
109,0,0,0,0,1,1,0,2,4,38,99000.0,39.31634462035497,12.758646652566446,State servant,Secondary / secondary special,Married,House / apartment,Cleaning staff,0
110,1,1,1,0,1,0,1,0,2,10,157500.0,62.23536417585576,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
111,0,0,0,1,1,0,0,0,2,19,225000.0,50.65949335030835,1.0376667556486443,Working,Secondary / secondary special,Married,House / apartment,Other,1
112,0,0,1,0,1,0,0,0,1,48,126000.0,46.13099516074936,7.928978692238718,Working,Secondary / secondary special,Single / not married,House / apartment,Cooking staff,0
113,0,1,1,0,0,0,0,3,5,7,180000.0,37.33957576130927,10.428687789619223,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,0
114,0,0,1,0,0,0,0,1,2,22,243000.0,46.298007488175664,1.0376667556486443,State servant,Higher education,Separated,House / apartment,Managers,0
115,0,0,1,1,1,1,0,2,4,11,112500.0,40.43341067920628,5.839955645906486,Working,Higher education,Married,House / apartment,Core staff,0
116,0,0,0,0,1,0,1,0,2,44,202500.0,55.075737352580816,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,1
117,0,0,1,0,1,0,0,0,2,4,180000.0,53.186581517758746,9.344476614851777,Working,Secondary / secondary special,Married,House / apartment,Other,0
118,0,1,0,0,0,0,0,0,2,42,112500.0,59.80136484664298,10.592962210038536,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,0
119,1,0,0,1,1,0,0,0,2,28,180000.0,36.91793808223304,6.617521235891223,Working,Higher education,Married,With parents,High skill tech staff,0
120,1,0,0,1,1,1,0,0,2,36,157500.0,38.68662600874761,7.876958459105936,Working,Secondary / secondary special,Married,House / apartment,Private service staff,0
121,0,0,1,0,1,0,1,0,1,48,76500.0,60.79248718317282,0.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Other,0
122,0,1,0,0,0,0,0,0,2,8,202500.0,38.89744484828573,1.7111918793678171,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,0
123,0,0,0,1,0,0,0,0,1,3,135000.0,35.559936206766736,1.1800379200120468,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,0
124,0,0,1,0,1,0,1,0,1,12,67500.0,62.59402999377126,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
125,1,1,0,0,0,0,1,0,2,23,67500.0,67.07872167121843,0.0,Pensioner,Lower secondary,Married,House / apartment,Other,0
126,0,0,1,0,0,1,1,0,1,60,225000.0,57.909471104813925,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
127,0,0,1,0,0,1,0,0,2,0,612000.0,34.39632572879662,10.171324530962304,State servant,Secondary / secondary special,Married,House / apartment,Accountants,0
128,0,0,1,0,0,0,1,0,1,18,247500.0,67.1088386482953,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
129,1,0,1,0,0,0,1,0,2,23,157500.0,64.7788797853481,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
130,0,1,1,1,0,0,0,2,4,46,112500.0,27.362642627843144,1.7632121125005988,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
131,1,1,1,0,0,0,0,2,4,25,139500.0,26.41806471043211,6.253379603961752,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
132,0,0,1,0,0,0,0,0,2,32,90000.0,54.9607452582873,0.6050774485444602,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,1
133,0,0,1,0,0,1,0,0,2,57,135000.0,44.62788421391267,26.552222153774547,Working,Secondary / secondary special,Civil marriage,House / apartment,Managers,0
134,1,1,1,0,0,0,0,0,2,28,225000.0,33.4243687413157,8.961169633873386,Commercial associate,Higher education,Married,House / apartment,Accountants,1
135,0,0,1,1,1,0,0,0,2,56,270000.0,36.54010691526862,10.51082499982888,Working,Secondary / secondary special,Civil marriage,House / apartment,Drivers,0
136,0,0,1,0,0,0,0,0,2,48,360000.0,49.542427291457045,8.774991957398166,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Sales staff,0
137,0,0,0,0,0,0,0,0,2,39,306000.0,29.31477032382595,3.707126087462439,Commercial associate,Higher education,Married,House / apartment,Managers,0
138,0,0,1,0,0,0,0,0,2,0,270000.0,45.534131433225866,4.720151680048187,Working,Higher education,Married,House / apartment,Sales staff,0
139,0,1,1,0,0,0,0,1,3,30,94500.0,54.15580059823268,18.751925090864287,Working,Secondary / secondary special,Married,House / apartment,Managers,0
140,1,0,0,1,1,0,0,0,1,10,180000.0,28.78635427147717,0.2765286077058392,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,0
141,0,0,1,0,1,1,0,0,2,17,180000.0,35.444944112473216,0.9336262893830812,Commercial associate,Higher education,Civil marriage,House / apartment,Sales staff,0
142,0,0,1,0,1,0,1,0,2,51,47250.0,58.6295406476519,0.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,Other,0
143,0,1,1,0,0,0,1,0,2,42,180000.0,65.57834863138874,0.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,Other,0
144,1,0,0,0,0,0,0,1,2,9,238500.0,24.077154219456936,0.3395004688665749,Commercial associate,Secondary / secondary special,Single / not married,Co-op apartment,Security staff,0
145,1,0,1,0,0,1,0,0,2,1,216000.0,52.43091918382992,20.301580456819785,Commercial associate,Higher education,Married,House / apartment,Managers,0
146,0,1,1,0,0,0,0,0,2,51,292500.0,39.66405881024251,6.948807983736832,Working,Incomplete higher,Married,House / apartment,Core staff,0
147,1,0,1,0,0,0,0,1,3,37,202500.0,27.0395696010185,1.1773000130050582,State servant,Secondary / secondary special,Married,House / apartment,Private service staff,0
148,0,0,1,0,1,0,0,0,2,46,112500.0,49.77241148004408,7.592216130379131,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
149,1,1,0,0,0,0,0,0,2,45,180000.0,51.74096661806882,3.619513063238807,Commercial associate,Higher education,Married,House / apartment,Other,0
150,1,1,0,0,0,0,1,2,4,9,157500.0,55.4864234036291,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
151,0,0,1,0,0,0,0,0,1,35,135000.0,24.91495376359542,3.102048638917979,Working,Higher education,Single / not married,House / apartment,Managers,0
152,0,0,1,0,0,0,1,0,2,23,67500.0,59.73839298548225,0.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,Other,0
153,1,1,1,0,1,0,0,1,3,15,360000.0,57.49057133274468,8.027543344490304,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
154,1,1,0,0,0,0,0,1,3,21,157500.0,32.10469756394724,9.840037783116696,Commercial associate,Secondary / secondary special,Married,House / apartment,Other,0
155,0,0,1,0,0,0,0,0,1,57,135000.0,47.11116586925125,7.655187991539867,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1
156,1,0,1,0,0,0,0,1,3,46,157500.0,36.45249389104499,1.489421411801748,Working,Secondary / secondary special,Civil marriage,House / apartment,Drivers,0
157,0,1,1,0,0,0,0,2,4,24,157500.0,43.26166861742541,1.5770344360253803,Commercial associate,Higher education,Married,House / apartment,Managers,1
158,0,1,0,0,0,0,0,0,1,20,112500.0,53.85463082746394,6.69692053909389,Working,Secondary / secondary special,Separated,House / apartment,Other,0
159,0,0,1,0,0,0,1,0,2,24,225000.0,65.3483644428017,0.0,Pensioner,Higher education,Married,House / apartment,Other,1
160,0,1,1,0,0,0,0,1,3,51,135000.0,30.719316618411057,4.199949348720371,Working,Secondary / secondary special,Married,House / apartment,Managers,0
161,0,0,0,1,1,0,0,0,2,57,180000.0,50.32820660246275,12.452001067783732,Working,Secondary / secondary special,Married,House / apartment,Accountants,0
162,0,0,1,0,0,0,0,0,2,24,315000.0,39.47788113376729,6.633948677933154,Commercial associate,Secondary / secondary special,Married,House / apartment,Other,1
163,0,0,0,0,0,0,0,0,2,4,157500.0,31.880189189374185,0.9418400104040466,Working,Higher education,Married,House / apartment,Managers,0
164,1,0,1,0,1,0,0,2,4,20,675000.0,38.77697693997823,18.853227650122864,State servant,Secondary / secondary special,Married,House / apartment,Drivers,0
165,0,0,1,0,0,0,0,0,1,37,112500.0,39.67501043827046,5.352608198662533,Working,Secondary / secondary special,Widow,House / apartment,Sales staff,0
166,1,0,0,1,1,0,0,1,3,36,130500.0,31.02322429618678,4.950135868635222,Working,Incomplete higher,Married,Rented apartment,Other,0
167,0,0,0,1,0,0,0,0,2,49,74250.0,54.56922455628794,8.599765908950902,State servant,Secondary / secondary special,Married,House / apartment,Core staff,0
168,1,1,1,0,0,0,0,0,2,21,180000.0,39.209566247082414,4.208163069741336,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
169,0,0,1,0,0,0,0,1,2,34,171000.0,56.34886411083048,4.794075169236876,State servant,Higher education,Separated,House / apartment,IT staff,0
170,0,0,1,0,0,0,0,0,1,2,202500.0,50.91411870195829,19.953866266932245,Working,Incomplete higher,Single / not married,House / apartment,Core staff,0
171,0,0,1,0,0,0,1,0,2,0,225000.0,53.4603722184576,0.0,Pensioner,Higher education,Married,House / apartment,Other,0
172,0,0,1,1,0,0,0,1,3,22,117000.0,51.99011615570477,1.5085867608506678,Working,Higher education,Married,House / apartment,Cleaning staff,0
173,0,0,1,1,1,0,0,0,2,1,225000.0,52.195459181228905,10.697002676304098,Working,Secondary / secondary special,Married,Office apartment,Other,0
174,1,0,0,0,0,0,0,1,3,18,225000.0,37.63800762507101,17.174890654838908,Working,Higher education,Married,House / apartment,Core staff,1
175,0,0,0,0,0,1,0,2,4,42,90000.0,32.65775477935892,0.8542269861804144,Working,Secondary / secondary special,Married,House / apartment,Other,0
176,1,0,0,0,0,0,1,0,2,2,135000.0,63.31136162960225,0.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,Other,0
177,0,0,0,0,0,0,0,0,2,17,270000.0,42.11174767449023,1.2868162932845986,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0
178,0,0,0,1,0,0,0,0,1,25,135000.0,35.9021745826403,12.928396886999732,Working,Secondary / secondary special,Separated,House / apartment,Laborers,1
179,1,1,0,0,0,0,0,2,4,25,135000.0,39.0945741527889,14.590306440241758,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
180,1,1,1,1,1,0,0,0,2,56,270000.0,60.20931299068427,21.09831139585344,Working,Higher education,Married,House / apartment,Managers,0
181,1,1,0,0,0,0,0,0,2,47,306000.0,43.836629088893,4.514808654524049,Working,Secondary / secondary special,Married,House / apartment,Managers,0
182,0,1,1,1,0,0,0,0,2,5,225000.0,31.984229655639744,9.549819640375915,Working,Higher education,Married,House / apartment,Other,1
183,0,0,0,0,0,0,0,0,1,38,171000.0,48.84152309766799,12.18094827409187,Commercial associate,Secondary / secondary special,Separated,House / apartment,Other,0
184,0,1,1,0,0,0,0,1,3,41,135000.0,30.55230429098476,2.3436483979821623,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,0
185,1,1,0,0,0,0,0,0,2,59,189000.0,34.664640615481495,1.0979007098023916,Working,Secondary / secondary special,Civil marriage,With parents,Security staff,0
186,1,1,0,1,0,0,0,1,3,30,180000.0,39.8803534637946,0.7994688460406442,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
187,1,0,1,0,0,0,0,0,2,13,157500.0,47.84218704011718,3.1540688720507606,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
188,1,1,0,1,0,0,0,0,2,15,184135.5,61.422205794780176,1.034928848641656,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
189,1,1,1,0,0,0,0,1,3,34,202500.0,24.96971190373519,4.635276562831543,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
190,0,1,1,0,0,0,0,0,2,45,225000.0,39.965228581011246,9.161036845383546,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Private service staff,0
